OBJECTID,ADDRESS,Longitude,ID,Latitude,HAM_CMA,Sum_count
207,"25 Charlton Ave E, Hamilton, ON L8N 1Y2, Canada",-79.8711283,207,43.2498154,1,2
208,"25 Great Lakes Dr, Brampton, ON L6R 2S5, Canada",-79.7604465,208,43.7315552,0,1
209,"250 Dundas St E, Waterdown, ON L0R 2H4, Canada",-79.8972515,209,43.3290787,1,2
210,"250 Laurelwood Dr, Waterloo, ON N2V 2R4, Canada",-80.5703181,210,43.4767294,0,4
211,"2501 Third Line, Oakville, ON L6M 5A9, Canada",-79.758646,211,43.4498505,0,4
212,"252 Dundas St E, Waterdown, ON L0R 2H6, Canada",-79.8970328,212,43.3292834,1,1
213,"2524 Third Line, Oakville, ON L6M 0G8, Canada",-79.7601837,213,43.4494343,0,3
214,"2525 Old Bronte Rd, Oakville, ON L6M 4J2, Canada",-79.7755914,214,43.4356583,0,12
215,"2537 Hamilton Regional Rd 56, Binbrook, ON L0R 1C0, Canada",-79.8017076,215,43.1248464,1,1
216,"2540 Postmaster Dr, Oakville, ON L6M 0N2, Canada",-79.7684185,216,43.4427255,0,9
217,"255 Dundas St E, Waterdown, ON L0R 2H6, Canada",-79.8976856,217,43.3309438,1,2
218,"255 Main St W, Hamilton, ON L8P 1J5, Canada",-79.88028,218,43.2576689,1,1
219,"26 Forbes St, Cambridge, ON N3C 2E2, Canada",-80.3069908,219,43.4297801,0,5
220,"26 Legend Ct, Ancaster, ON L9K 1J3, Canada",-79.9475124,220,43.2274344,1,1
221,"260 Nebo Rd, Hamilton, ON L8W 3K5, Canada",-79.8390406,221,43.1915765,1,7
222,"264 Concession St, Hamilton, ON L9A 1B2, Canada",-79.8647054,222,43.2438605,1,1
223,"265 King George Rd, Brantford, ON N3R 5L5, Canada",-80.2800386,223,43.176491,0,3
224,"265 Yorkland Blvd, North York, ON M2J 5C7, Canada",-79.3359501,224,43.773342,0,2
225,"267 Bay Thorn Dr, Thornhill, ON L3T 3V8, Canada",-79.4252462,225,43.8255263,0,1
226,"269 King St W, Dundas, ON L9H 1W2, Canada",-79.9661535,226,43.2691752,1,1
227,"269 Magnolia Pl, Waterloo, ON N2V 2A3, Canada",-80.5649157,227,43.4983336,0,1
228,"27 Ruth Ave, Brampton, ON L6Z 4R2, Canada",-79.7873707,228,43.7227095,0,1
229,"2732 Barton St E, Hamilton, ON L8E 4M6, Canada",-79.7460852,229,43.233364,1,2
230,"2757 King St E, Hamilton, ON L8G 5E4, Canada",-79.7743945,230,43.2216826,1,5
231,"277 Wilson St E, Ancaster, ON L9G 2B8, Canada",-79.9778103,231,43.2248978,1,2
232,"28 Brock Rd N, Guelph, ON N1H 6H9, Canada",-80.1569539,232,43.4760838,0,4
233,"28 Sovereign St E, Waterford, ON N0E 1Y0, Canada",-80.291457,233,42.938445,0,2
234,"280 Queenston Rd, Hamilton, ON L8K 1H1, Canada",-79.7924618,234,43.2338188,1,12
235,"281 Stone Rd E, Guelph, ON N1G 5K9, Canada",-80.2151819,235,43.533038,0,7
236,"285 Riverside Dr, Welland, ON L3C 5E6, Canada",-79.2712125,236,42.9794428,0,1
237,"288 Dundas St E, Waterdown, ON L0R 2H4, Canada",-79.8944086,237,43.3316646,1,2
238,"289 Charlton Ave W, Hamilton, ON L8P 2E4, Canada",-79.8856605,238,43.2528362,1,1
239,"289 Frederick St, Kitchener, ON N2H 2N3, Canada",-80.4778205,239,43.4555762,0,1
240,"2951 Walkers Line, Burlington, ON L7M 4Y1, Canada",-79.8216451,240,43.3920988,1,28
241,"2958 Greenfield Rd, Ayr, ON N0B 1E0, Canada",-80.462376,241,43.3018099,0,6
242,"298 Lawrence Ave, Kitchener, ON N2M 1Y4, Canada",-80.5129779,242,43.4414846,0,6
243,"2983 Westoak Trails Blvd, Oakville, ON L6M 5E9, Canada",-79.7649144,243,43.4290692,0,4
244,"3 Maple Ave N, Brant, ON N0E, Canada",-80.4298052,244,43.1040149,0,4
245,"3 Wilson St E, Ancaster, ON L9G 2B3, Canada",-79.987046,245,43.2182741,1,1
246,"30 Derry Rd E, Milton, ON L9T 2X6, Canada",-79.8742994,246,43.4973471,0,3
247,"30 Dupont St E, Waterloo, ON N2J 2G9, Canada",-80.5207934,247,43.4665331,0,2
248,"30 Regent Ave, Hamilton, ON L9B 1R6, Canada",-79.9102404,248,43.2135551,1,1
249,"30 The Queensway, Toronto, ON M6R 1B5, Canada",-79.4500166,249,43.6405498,0,1
250,"300 North Service Rd W, Oakville, ON L6M 2R9, Canada",-79.7046661,250,43.4458661,0,3
251,"3001 Hospital Gate, Oakville, ON L6M 0L8, Canada",-79.7647495,251,43.450405,0,54
252,"301 High Tech Rd, Richmond Hill, ON L4B 0A3, Canada",-79.4104277,252,43.8428871,0,1
253,"304 Stone Rd W, Guelph, ON N1G 3C4, Canada",-80.234375,253,43.5184384,0,2
254,"304 Victoria Ave N, Hamilton, ON L8L 5G4, Canada",-79.85235,254,43.262161,1,1
255,"3047 A Hurontario St, Mississauga, ON L5A 2G9, Canada",-79.6174386,255,43.5815694,0,1
256,"305 Helena St, Dunnville, ON N1A 2S9, Canada",-79.6260722,256,42.9071211,0,2
257,"3050 Argentia Rd, Mississauga, ON L5N 8E1, Canada",-79.7839664,257,43.5956503,0,1
258,"3055 Homestead Dr, Mount Hope, ON L0R 1W0, Canada",-79.9125799,258,43.1598014,1,1
259,"3080 Windwood Dr, Mississauga, ON L5N 2K5, Canada",-79.7490566,259,43.5760449,0,1
260,"310 Juliana Dr, Woodstock, ON N4V 0A4, Canada",-80.7538992,260,43.106565,0,1
261,"310 King St E, Kitchener, ON N2H 2V5, Canada",-80.4835327,261,43.4476053,0,3
262,"311 Commercial St, Milton, ON L9T 1A8, Canada",-79.8721649,262,43.5095219,0,2
263,"311 Fruitland Rd, Stoney Creek, ON L8E 5M8, Canada",-79.7004581,263,43.2228193,1,3
264,"311 Wilson St E, Ancaster, ON L9G 2B8, Canada",-79.9770973,264,43.2259477,1,1
265,"3137 Hwy 56, Hamilton, ON L8J, Canada",-79.7766787,265,43.1732386,1,2
