ID,LONGITUDE,LATITUDE,Coloring,DA,CD,Province,CSD,Abbrev,Suppressed,POP2016,POP2011,Age <4,Age 5 to 9,Age 10 to 14,Age 15 to 19,Age 15,Age 16,Age 17,Age 18,Age 19,Age 20 to 24,Age 25 to 29,Age 30 to 34,Age 35 to 39,Age 40 to 44,Age 45 to 49,Age 50 to 54,Age 55 to 59,Age 60 to 64,Age 65 to 69,Age 70 to 74,Age 75 to 79,Age 80 to 84,Age 85+,DAUID,POPY65,POPO65
227537,-79602796,43539016,0,35210391,3521,35,3521005,ON,N,259,260,25,15,10,20,5,5,0,0,5,15,20,20,20,15,20,20,25,15,5,10,5,5,5,35210391,255,30
227529,-79607735,43535465,3,35210392,3521,35,3521005,ON,N,930,930,35,50,75,75,15,25,10,20,10,75,45,40,45,70,110,95,65,45,40,35,20,10,5,35210392,905,110
227521,-79606978,43533814,1,35210393,3521,35,3521005,ON,N,512,510,25,30,25,55,5,15,10,10,10,40,20,15,20,40,45,60,50,40,20,15,5,0,5,35210393,515,45
227441,-79614338,43528062,0,35210394,3521,35,3521005,ON,N,826,830,35,35,65,60,10,10,15,15,15,70,35,30,50,65,85,85,65,35,30,30,25,5,10,35210394,780,100
227449,-79611377,43524302,2,35210395,3521,35,3521005,ON,N,514,510,20,30,50,40,5,10,10,0,10,25,20,10,30,45,55,50,40,35,40,15,5,5,5,35210395,485,70
227409,-79619512,43520818,1,35210396,3521,35,3521005,ON,N,794,795,20,45,60,60,15,15,15,10,10,30,30,15,25,55,80,65,45,50,65,40,40,40,25,35210396,645,210
227425,-79617401,43523649,3,35210397,3521,35,3521005,ON,N,325,325,25,25,25,15,5,5,5,0,0,20,20,25,25,35,30,25,20,20,10,5,0,0,0,35210397,325,15
227433,-79617880,43525615,1,35210398,3521,35,3521005,ON,N,446,450,20,20,25,45,5,5,5,15,10,25,35,30,25,35,40,50,40,20,15,10,0,5,0,35210398,450,30
227417,-79623970,43525333,3,35210399,3521,35,3521005,ON,N,678,680,35,35,50,85,15,15,15,20,15,55,20,10,30,35,65,90,45,35,35,30,20,10,10,35210399,670,105
227457,-79619681,43533369,1,35210400,3521,35,3521005,ON,N,778,775,10,30,60,85,20,15,15,20,20,70,45,15,20,40,75,85,65,60,35,25,25,15,15,35210400,750,115
225937,-79628633,43527728,2,35210401,3521,35,3521005,ON,N,524,520,25,20,40,65,10,15,10,15,15,40,10,10,20,25,50,55,40,35,25,25,20,10,10,35210401,500,90
225969,-79631503,43533150,3,35210402,3521,35,3521005,ON,N,620,620,15,25,55,60,15,10,10,15,15,60,25,15,20,40,65,60,50,35,30,20,20,10,10,35210402,590,90
225929,-79634106,43531424,1,35210403,3521,35,3521005,ON,N,436,435,20,25,35,45,10,10,10,10,15,35,10,5,25,25,50,45,35,25,10,15,15,10,10,35210403,435,60
225905,-79635725,43528902,0,35210404,3521,35,3521005,ON,N,419,415,20,20,35,40,10,5,5,10,5,35,5,10,20,40,45,45,35,20,15,15,10,20,5,35210404,405,65
225889,-79640677,43527161,4,35210405,3521,35,3521005,ON,N,505,505,15,15,45,40,10,15,0,10,5,35,20,15,20,30,55,50,40,20,25,20,15,20,10,35210405,440,90
225897,-79636579,43524602,3,35210406,3521,35,3521005,ON,N,459,460,25,20,25,35,5,5,5,5,10,20,15,15,30,30,50,40,45,30,15,25,10,10,10,35210406,410,70
225873,-79640233,43522637,2,35210407,3521,35,3521005,ON,N,423,425,25,25,20,30,5,5,10,5,10,30,15,10,30,35,35,45,25,25,15,10,20,15,5,35210407,385,65
225809,-79643739,43523686,0,35210408,3521,35,3521005,ON,N,381,380,10,20,35,40,5,15,5,5,5,25,10,10,20,25,40,35,20,15,10,20,15,20,5,35210408,340,70
225913,-79634368,43519459,1,35210409,3521,35,3521005,ON,N,510,510,45,35,45,30,5,5,5,5,5,30,20,30,30,45,50,35,25,20,15,15,25,10,5,35210409,465,70
225881,-79636511,43517458,2,35210410,3521,35,3521005,ON,N,605,605,30,35,45,45,5,10,5,15,15,40,45,50,35,35,50,45,30,30,30,10,15,20,5,35210410,565,80
225921,-79631075,43518140,0,35210411,3521,35,3521005,ON,N,526,525,25,30,25,40,5,10,10,10,10,40,10,25,30,40,40,55,30,45,35,20,15,20,10,35210411,480,100
222273,-79627827,43515781,2,35210412,3521,35,3521005,ON,N,1095,1095,35,25,40,55,15,10,15,10,15,75,115,95,60,55,70,80,70,80,65,45,40,50,30,35210412,920,230
222265,-79629418,43514270,1,35210413,3521,35,3521005,ON,N,652,655,25,20,25,35,10,5,10,5,5,35,40,35,45,35,60,70,60,45,50,30,20,20,15,35210413,565,135
222257,-79627797,43511693,3,35210414,3521,35,3521005,ON,N,453,455,15,10,15,30,5,5,5,10,10,20,25,25,20,35,25,40,50,40,30,30,20,20,10,35210414,385,110
222289,-79626200,43510097,2,35210415,3521,35,3521005,ON,N,781,780,40,50,45,40,15,5,5,10,5,60,60,75,65,55,75,85,55,45,20,10,5,5,0,35210415,790,40
222297,-79623074,43509298,3,35210416,3521,35,3521005,ON,N,531,530,20,20,40,35,10,5,10,5,10,30,35,25,30,35,55,45,35,45,25,15,10,10,5,35210416,490,65
